method,N,zone,t_step_ms,t_correction_ms,sample_grad_evals_per_step,stream_len,cumulative_runtime_s,section,peak_python_traced_mem_MB,static_ema_MB,static_particles_MB,static_deviations_MB,static_BxB_MB,static_solve_MB,static_total_MB,experiment,kind,metric,mean,std,n_seeds,mean_difference,std_difference,paired_t_p,wilcoxon_p,shared_from,ess_over_N,entropy_norm,max_weight,particle_spread,unique_ancestor_rate_all,unique_ancestor_rate_resampled,resample_rate,sigma_cd,f1_mean,f1_std,rho_q50,rho_q90,rho_q99,rho_max,P_rho_gt_0.9,P_rho_gt_0.99,clip_count,wspf_b_actual_clip_rate,nonfinite,rho_ge_0.999_count,wspf_a_rho_threshold_exceedance_rate
WSPF-B,25,None,5.09848,1.62818,400,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,50,None,9.27141,3.23869,800,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,25.896,11.2306,1600,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,200,None,61.2101,30.7149,3200,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,400,None,137.064,62.9497,6400,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,all,1.08854,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,all,4.13985,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,all,2.10481,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,,,peak_mem,4.60816,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,,,peak_mem,39.3468,0.6664,0.6664,10.6624,0.2048,10.6624,22.8624,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,,,peak_mem,34.6762,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGD,100,None,,,,,,,,,,,,,,main,performance,f1,0.78835,0.00528018,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PH-SGD,100,None,,,,,,,,,,,,,,main,performance,f1,0.783145,0.019097,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Window-SGD,100,None,,,,,,,,,,,,,,main,performance,f1,0.765226,0.0130731,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,,,,,,,,,,,main,performance,f1,0.793695,0.00252037,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,,,,,,,,,,,main,diagnostic,ess_over_N,0.741004,0.0383294,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,,,,,,,,,,,main,diagnostic,weight_entropy,4.42026,0.0320713,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,,,,,,,,,,,main,diagnostic,max_weight,0.0318365,0.00302184,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,,,,,,,,,,,main,diagnostic,particle_spread,12.9989,4.9325,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,,,,,,,,,,,main,diagnostic,unique_ancestor_rate_all,0.977315,0.00634958,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,,,,,,,,,,,main,diagnostic,unique_ancestor_rate_resampled,0.61695,0.0161916,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,,,,,,,,,,,main,diagnostic,resample_rate,0.0592593,0.0161441,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,,,,,,,,,,,main,performance,f1,0.583772,0.0372415,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,,,,,,,,,,,main,diagnostic,ess_over_N,0.126016,0.0111854,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,,,,,,,,,,,main,diagnostic,weight_entropy,2.80176,0.0843,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,,,,,,,,,,,main,diagnostic,max_weight,0.283159,0.0166988,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,,,,,,,,,,,main,diagnostic,particle_spread,131.495,9.67902,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,,,,,,,,,,,main,diagnostic,unique_ancestor_rate_all,0.311926,0.0160356,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,,,,,,,,,,,main,diagnostic,unique_ancestor_rate_resampled,0.311926,0.0160356,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,,,,,,,,,,,main,diagnostic,resample_rate,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,,,,,,,,,,,main,performance,f1,0.58134,0.0314629,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,,,,,,,,,,,main,diagnostic,ess_over_N,0.119387,0.014282,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,,,,,,,,,,,main,diagnostic,weight_entropy,2.75284,0.13067,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,,,,,,,,,,,main,diagnostic,max_weight,0.264729,0.0287248,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,,,,,,,,,,,main,diagnostic,particle_spread,102.364,8.83428,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,,,,,,,,,,,main,diagnostic,unique_ancestor_rate_all,0.283593,0.0207847,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,,,,,,,,,,,main,diagnostic,unique_ancestor_rate_resampled,0.283593,0.0207847,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,,,,,,,,,,,main,diagnostic,resample_rate,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-S,100,None,,,,,,,,,,,,,,main,performance,f1,0.790413,0.0284179,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-S,100,None,,,,,,,,,,,,,,main,diagnostic,ess_over_N,0.463181,0.0121321,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-S,100,None,,,,,,,,,,,,,,main,diagnostic,weight_entropy,3.95816,0.0508998,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-S,100,None,,,,,,,,,,,,,,main,diagnostic,max_weight,0.0858602,0.0146588,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-S,100,None,,,,,,,,,,,,,,main,diagnostic,particle_spread,8.78022,4.03288,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-S,100,None,,,,,,,,,,,,,,main,diagnostic,unique_ancestor_rate_all,0.692167,0.0135558,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-S,100,None,,,,,,,,,,,,,,main,diagnostic,unique_ancestor_rate_resampled,0.479012,0.0131136,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-S,100,None,,,,,,,,,,,,,,main,diagnostic,resample_rate,0.590741,0.0174703,10,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A_vs_PF,100,None,,,,,,,,,,,,,,main,paired,f1_paired,,,,-0.209923,0.0407334,5.47847e-08,0.00195312,,,,,,,,,,,,,,,,,,,,,,
WSPF-B_vs_PF,100,None,,,,,,,,,,,,,,main,paired,f1_paired,,,,-0.212355,0.0329304,7.64935e-09,0.00195312,,,,,,,,,,,,,,,,,,,,,,
PF,,None,,,,,,,,,,,,,,matched_hp,,f1,0.793695,0.00252037,,,,,,PF,,,,,,,,,,,,,,,,,,,,,
WSPF-A,,None,,,,,,,,,,,,,,matched_hp,,f1,0.790382,0.00503535,,,,,,PF,,,,,,,,,,,,,,,,,,,,,
WSPF-B,,None,,,,,,,,,,,,,,matched_hp,,f1,0.787828,0.0064839,,,,,,PF,,,,,,,,,,,,,,,,,,,,,
PF,,None,,,,,,,,,,,,,,matched_hp,,f1,0.572212,0.0424353,,,,,,WSPF-A,,,,,,,,,,,,,,,,,,,,,
WSPF-A,,None,,,,,,,,,,,,,,matched_hp,,f1,0.599685,0.0258097,,,,,,WSPF-A,,,,,,,,,,,,,,,,,,,,,
WSPF-B,,None,,,,,,,,,,,,,,matched_hp,,f1,0.596684,0.0323547,,,,,,WSPF-A,,,,,,,,,,,,,,,,,,,,,
PF,,None,,,,,,,,,,,,,,matched_hp,,f1,0.658275,0.0384727,,,,,,WSPF-B,,,,,,,,,,,,,,,,,,,,,
WSPF-A,,None,,,,,,,,,,,,,,matched_hp,,f1,0.624267,0.0216208,,,,,,WSPF-B,,,,,,,,,,,,,,,,,,,,,
WSPF-B,,None,,,,,,,,,,,,,,matched_hp,,f1,0.664122,0.0372615,,,,,,WSPF-B,,,,,,,,,,,,,,,,,,,,,
PF,25,None,3.68759,,,,,,,,,,,,,n_sweep,,f1,0.791353,0.00309191,,,,,,,0.741324,0.939097,0.100983,9.47185,0.981185,0.594,0.0462963,,,,,,,,,,,,,,
PF,50,None,6.37504,,,,,,,,,,,,,n_sweep,,f1,0.790643,0.00378434,,,,,,,0.733498,0.94784,0.0571075,13.892,0.979,0.606,0.0537037,,,,,,,,,,,,,,
PF,100,None,12.09,,,,,,,,,,,,,n_sweep,,f1,0.793695,0.00252037,,,,,,,0.741004,0.959848,0.0318365,12.9989,0.977315,0.61695,0.0592593,,,,,,,,,,,,,,
PF,200,None,24.3693,,,,,,,,,,,,,n_sweep,,f1,0.79277,0.00257505,,,,,,,0.751194,0.967581,0.0173998,16.2556,0.973278,0.619225,0.0703704,,,,,,,,,,,,,,
PF,400,None,48.991,,,,,,,,,,,,,n_sweep,,f1,0.793479,0.00262339,,,,,,,0.733251,0.968656,0.0101151,18.1718,0.971514,0.615383,0.0740741,,,,,,,,,,,,,,
WSPF-A,25,None,14.4723,,,,,,,,,,,,,n_sweep,,f1,0.542888,0.0151631,,,,,,,0.198078,0.555195,0.434522,93.6932,0.349259,0.339509,0.985185,,,,,,,,,,,,,,
WSPF-A,50,None,29.3121,,,,,,,,,,,,,n_sweep,,f1,0.591333,0.0465306,,,,,,,0.153964,0.573589,0.366007,109.202,0.32037,0.317898,0.996296,,,,,,,,,,,,,,
WSPF-A,100,None,57.4818,,,,,,,,,,,,,n_sweep,,f1,0.583772,0.0372415,,,,,,,0.126016,0.608395,0.283159,131.495,0.311926,0.311926,1,,,,,,,,,,,,,,
WSPF-A,200,None,129.051,,,,,,,,,,,,,n_sweep,,f1,0.609436,0.0329746,,,,,,,0.0992966,0.628943,0.23145,149.403,0.297481,0.297481,1,,,,,,,,,,,,,,
WSPF-A,400,None,264.582,,,,,,,,,,,,,n_sweep,,f1,0.608331,0.0347996,,,,,,,0.0775774,0.633358,0.204019,174.269,0.278741,0.278741,1,,,,,,,,,,,,,,
WSPF-B,25,None,8.12666,,,,,,,,,,,,,n_sweep,,f1,0.513615,0.0526515,,,,,,,0.175236,0.515839,0.443987,72.7552,0.306741,0.306741,1,,,,,,,,,,,,,,
WSPF-B,50,None,16.5385,,,,,,,,,,,,,n_sweep,,f1,0.561439,0.0332615,,,,,,,0.142938,0.565033,0.34381,87.7124,0.298296,0.298296,1,,,,,,,,,,,,,,
WSPF-B,100,None,32.4425,,,,,,,,,,,,,n_sweep,,f1,0.58134,0.0314629,,,,,,,0.119387,0.597772,0.264729,102.364,0.283593,0.283593,1,,,,,,,,,,,,,,
WSPF-B,200,None,75.5955,,,,,,,,,,,,,n_sweep,,f1,0.586961,0.0372185,,,,,,,0.0937649,0.61099,0.214758,122.567,0.262102,0.262102,1,,,,,,,,,,,,,,
WSPF-B,400,None,159.833,,,,,,,,,,,,,n_sweep,,f1,0.600172,0.0354086,,,,,,,0.0908809,0.65524,0.149501,142.74,0.267023,0.267023,1,,,,,,,,,,,,,,
PF,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.75416,,,,,,0.0259259,0.001,0.794025,0.00285781,None,None,None,None,None,None,None,None,None,,
PF,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.741004,,,,,,0.0592593,0.005,0.793695,0.00252037,None,None,None,None,None,None,None,None,None,,
PF,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.705213,,,,,,0.101852,0.01,0.792865,0.00400632,None,None,None,None,None,None,None,None,None,,
PF,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.663614,,,,,,0.209259,0.025,0.795624,0.00608401,None,None,None,None,None,None,None,None,None,,
PF,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.600032,,,,,,0.348148,0.05,0.773227,0.0126007,None,None,None,None,None,None,None,None,None,,
PF,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.538746,,,,,,0.440741,0.075,0.743955,0.0104095,None,None,None,None,None,None,None,None,None,,
PF,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.47407,,,,,,0.564815,0.1,0.716606,0.0157765,None,None,None,None,None,None,None,None,None,,
PF,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.415858,,,,,,0.651852,0.125,0.694285,0.0192198,None,None,None,None,None,None,None,None,None,,
PF,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.359418,,,,,,0.774074,0.15,0.673748,0.028523,None,None,None,None,None,None,None,None,None,,
PF,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.309524,,,,,,0.862963,0.175,0.656459,0.0296843,None,None,None,None,None,None,None,None,None,,
PF,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.277098,,,,,,0.925926,0.2,0.660668,0.0308352,None,None,None,None,None,None,None,None,None,,
WSPF-A,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.0107525,,,,,,1,0.001,0.471344,0.0622317,0.979184,0.998101,0.999536,0.999751,0.738833,0.36813,,,0,236.6,0.0438148
WSPF-A,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.0285877,,,,,,1,0.005,0.433038,0.074714,0.641632,0.951778,0.98782,0.993102,0.214056,0.00666667,,,0,0,0
WSPF-A,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.0483175,,,,,,1,0.01,0.431089,0.0668884,0.312952,0.835895,0.955067,0.97628,0.0482407,0,,,0,0,0
WSPF-A,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.0855354,,,,,,1,0.025,0.462673,0.0310256,0.0692488,0.456302,0.778575,0.885609,7.40741e-05,0,,,0,0,0
WSPF-A,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.110569,,,,,,1,0.05,0.47439,0.0393869,0.024122,0.222078,0.546529,0.758422,0,0,,,0,0,0
WSPF-A,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.125585,,,,,,1,0.075,0.510297,0.028741,0.0112271,0.12102,0.379542,0.67535,0,0,,,0,0,0
WSPF-A,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.134864,,,,,,1,0.1,0.547585,0.0434758,0.00684703,0.0780197,0.274006,0.548416,0,0,,,0,0,0
WSPF-A,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.144007,,,,,,1,0.125,0.566723,0.0313804,0.00441731,0.0512262,0.194142,0.465703,0,0,,,0,0,0
WSPF-A,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.131106,,,,,,0.996296,0.15,0.571368,0.0301244,0.00355155,0.0420505,0.166217,0.415919,0,0,,,0,0,0
WSPF-A,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.128768,,,,,,1,0.175,0.584616,0.0386826,0.00263414,0.031854,0.132334,0.365976,0,0,,,0,0,0
WSPF-A,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.126016,,,,,,1,0.2,0.583772,0.0372415,0.00203909,0.0250708,0.106917,0.339779,0,0,,,0,0,0
WSPF-B,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.01,,,,,,1,0.001,0.452845,0.107828,0.992483,0.999,0.999,0.999,0.834185,0.549259,815.8,0.151074,0,,
WSPF-B,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.019466,,,,,,1,0.005,0.487437,0.0663487,0.832165,0.982198,0.995558,0.997483,0.3945,0.0470185,0,0,0,,
WSPF-B,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.0389471,,,,,,1,0.01,0.42423,0.0809411,0.557594,0.933484,0.982966,0.990585,0.159185,0.00125926,0,0,0,,
WSPF-B,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.0843035,,,,,,1,0.025,0.451352,0.0415447,0.179408,0.71127,0.910509,0.952335,0.0132222,0,0,0,0,,
WSPF-B,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.115797,,,,,,1,0.05,0.486131,0.0425214,0.0644936,0.442132,0.770357,0.899945,0.000166667,0,0,0,0,,
WSPF-B,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.128024,,,,,,1,0.075,0.481244,0.0213177,0.0332891,0.286974,0.631268,0.834737,0,0,0,0,0,,
WSPF-B,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.131119,,,,,,1,0.1,0.517462,0.0337119,0.0203795,0.19987,0.522118,0.786585,0,0,0,0,0,,
WSPF-B,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.112807,,,,,,1,0.125,0.519393,0.0282917,0.0158466,0.163146,0.463509,0.745044,0,0,0,0,0,,
WSPF-B,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.116238,,,,,,1,0.15,0.55774,0.0192245,0.010131,0.110799,0.356131,0.649891,0,0,0,0,0,,
WSPF-B,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.119387,,,,,,1,0.175,0.58134,0.0314629,0.0075078,0.0857459,0.299413,0.619546,0,0,0,0,0,,
WSPF-B,,None,,,,,,,,,,,,,,qcd_sweep,,,,,,,,,,,0.108637,,,,,,1,0.2,0.577056,0.0406131,0.00620044,0.0726334,0.264822,0.591991,0,0,0,0,0,,
