sigma_cd,seed,method,mse,mae,rho_mean,rho_max,ess_mean,resample_frac,nonfinite
0.025,5,WSPF-B,0.055075,0.180517,0.055052171248936056,0.4744327535263436,14.52287366662057,0.9748110831234257,0
0.025,6,SGD,0.020934,0.108292,nan,nan,nan,nan,
0.025,6,PF,0.038509,0.152258,nan,nan,25.146218700588832,0.8967254408060453,0
0.025,6,WSPF-A,0.054754,0.184200,0.0545768330146394,0.29449984911171556,3.8752736350987647,1.0,0
0.025,6,WSPF-B,0.063927,0.192770,0.061640424542713325,0.4282967962135845,12.582971952329693,0.9773299748110831,0
0.025,7,SGD,0.020970,0.109453,nan,nan,nan,nan,
0.025,7,PF,0.037575,0.147650,nan,nan,27.982284591621447,0.8816120906801007,0
0.025,7,WSPF-A,0.061403,0.193552,0.0586680797352418,0.3035309850062154,4.011232550563142,1.0,0
0.025,7,WSPF-B,0.050385,0.172947,0.050784906022495434,0.3761434304900681,16.140457762845863,0.964735516372796,0
0.025,8,SGD,0.021054,0.109608,nan,nan,nan,nan,
0.025,8,PF,0.039912,0.153737,nan,nan,23.558756155617765,0.9370277078085643,0
0.025,8,WSPF-A,0.058694,0.188832,0.05744880401645352,0.33388598618900056,4.307736167979719,1.0,0
0.025,8,WSPF-B,0.049753,0.172091,0.04955982478315633,0.286779944017722,14.382151226937811,0.9722921914357683,0
0.025,9,SGD,0.019956,0.105491,nan,nan,nan,nan,
0.025,9,PF,0.048296,0.170315,nan,nan,23.14348837920348,0.9017632241813602,0
0.025,9,WSPF-A,0.054195,0.183225,0.05320637108846613,0.22273173415781386,4.684280019123264,1.0,0
0.025,9,WSPF-B,0.054545,0.180207,0.051414634038299704,0.39489067286485213,14.787911216271246,0.964735516372796,0
0.05,0,SGD,0.021168,0.109653,nan,nan,nan,nan,
0.05,0,PF,0.067633,0.199543,nan,nan,10.586901955548853,1.0,0
0.05,0,WSPF-A,0.090791,0.231253,0.03399327182322903,0.23521281523094886,5.149702464831461,1.0,0
0.05,0,WSPF-B,0.068388,0.199734,0.029024986611980785,0.22009396791331207,7.964623903587291,1.0,0
0.05,1,SGD,0.021363,0.111654,nan,nan,nan,nan,
0.05,1,PF,0.061825,0.189775,nan,nan,10.106360969561722,1.0,0
0.05,1,WSPF-A,0.109524,0.254856,0.03737179205180488,0.2786183269767345,4.999332405196706,1.0,0
0.05,1,WSPF-B,0.089929,0.231762,0.03204429250432788,0.4659631619592431,7.205131793860029,1.0,0
0.05,2,SGD,0.019872,0.105871,nan,nan,nan,nan,
0.05,2,PF,0.068274,0.200605,nan,nan,10.497450517979672,1.0,0
0.05,2,WSPF-A,0.092783,0.234657,0.03410600484415466,0.2864828054330605,5.275820469206008,1.0,0
0.05,2,WSPF-B,0.081009,0.217517,0.0300727719982391,0.2668897303502557,7.618500557632215,1.0,0
0.05,3,SGD,0.021864,0.112118,nan,nan,nan,nan,
0.05,3,PF,0.074016,0.206709,nan,nan,9.957993652356427,1.0,0
0.05,3,WSPF-A,0.097405,0.240499,0.0341119443336598,0.28177268423266816,5.157786210393285,1.0,0
0.05,3,WSPF-B,0.069556,0.201658,0.02738473569216347,0.20004911591972183,8.514196039978868,1.0,0
0.05,4,SGD,0.020864,0.109752,nan,nan,nan,nan,
0.05,4,PF,0.067997,0.198809,nan,nan,10.585490771865556,1.0,0
0.05,4,WSPF-A,0.101193,0.240679,0.0356795460629784,0.3546325386736381,5.398349010886391,1.0,0
0.05,4,WSPF-B,0.073214,0.210507,0.030195698734111175,0.188191746241916,7.348091083475633,1.0,0
0.05,5,SGD,0.021195,0.109692,nan,nan,nan,nan,
0.05,5,PF,0.075947,0.207282,nan,nan,10.544003925486503,1.0,0
0.05,5,WSPF-A,0.089891,0.230266,0.03579347497069646,0.31636398475107136,5.316005291021066,1.0,0
0.05,5,WSPF-B,0.090003,0.224706,0.03208425664819267,0.2453720028848208,7.5912001920211285,1.0,0
0.05,6,SGD,0.020934,0.108292,nan,nan,nan,nan,
0.05,6,PF,0.067348,0.197545,nan,nan,10.652871769367893,1.0,0
0.05,6,WSPF-A,0.079618,0.216529,0.02960586687768594,0.22742702475093104,5.349808948017902,1.0,0
0.05,6,WSPF-B,0.070938,0.203777,0.028737616920607514,0.37384858310269975,7.493829214989246,1.0,0
0.05,7,SGD,0.020970,0.109453,nan,nan,nan,nan,
0.05,7,PF,0.074930,0.206821,nan,nan,10.043858674745389,1.0,0
